id,手機螢幕溫度(平均),手機螢幕溫度(最大),手機背蓋溫度(平均),平均APP運作指標/小時,充電時間指標,手機電池電量,CPU跑分階級,手機外殼/包膜指標,外型平均曲率,上網頻率指標,通話頻率指標,新機/二手/老舊,內容容量比率,CPU效能等級,
1,65.61904762,75.52380952,59.08666667,604.4,0.102564103,54.83405483,3,0.08311592,-0.1277,2706,2245,0,1,1,
2,50.64285714,60,64.77333333,529.2,0.010526316,62.3015873,3,0.165029585,-0.04399,3947,3603,1,0.851482861,1,
3,61.21428571,64.16666667,41.86,718.2,0.344444444,87.99712427,3,0.03700158,-0.1265,5977,5707,1,0.999404354,1,
4,66.57142857,71.28571429,49.84,295.4,0.871794872,53.51731602,3,0.105572775,-0.08424,3768,3535,0,0.988044594,1,
5,19.74365525,24.76190476,55.23236084,178.2644436,0.006289308,68.7547153,4,0.092935249,0.021349633,98.99131215,0,0,0.982845843,2,
6,39.14285714,43.26190476,56.14666667,165.6,0.140350877,87.88580345,3,0.059868485,0.04099113,7915,7725,0,0.938238552,1,
7,30.95238095,41.71428571,54.62666667,639.4,0.661016949,84.31724347,3,0.074431896,0.017161622,377.4,0,1,0.975900212,1,
8,46.28571429,52.66666667,45.83333333,1286,0.466666667,93.66883117,3,0.082419738,-0.09734,2259,1883,1,0.817342501,1,
9,16.17586554,17.57142857,20.68836975,117.9024442,0.169117644,57.34039632,4,0.069432452,0.014543069,240.0376775,43.99893996,0,0.537875473,2,
10,49.71428571,59.38095238,68.2,1043,0.348837209,94.56101689,3,0.040207211,-0.04913,3180,2887,0,0.406414301,1,
11,16.32280477,17.42857143,22.84151713,148.9747141,0.010416667,68.17295456,4,0.04383802,0.026191097,47.2392545,0,0,0.734618247,2,
12,40.45238095,48.35714286,65.32,100.8,0.306122449,55.28499278,3,0.174891472,0.112500898,1023,582.1,0,0.996942589,1,
13,55.4047619,61.23809524,57.64666667,657.3,0.056,93.22800006,3,0.058410417,-0.1917,3890,3557,0,0.91838115,1,
