手機螢幕溫度(最大),手機背蓋溫度(平均),平均APP運作指標/小時,手機電池電量,內容容量比率,Underclocking
63.83333333,43.21333333,231,61.25541126,0.999244224,0
57.85714286,58.05333333,92.09,91.39384625,0.950293665,1
36.71428571,36.661527,836.2393028,68.93120233,1,0
41.57142857,63.21333333,588.8,54.45526696,0.918969737,1
49.4047619,52.48666667,683.9,61.92279942,0.906410554,0
53.88095238,51.62666667,882.3,62.08513709,1,1
29.35714286,69.4,87.33,53.78787879,0.950418363,0
38.35714286,51.45333333,617.1,75.34271284,0.900802859,1
34.64285714,40.68798828,98.43637578,67.49227727,0.999090337,0
42.23809524,61.59333333,309.1,51.82178932,0.918532168,1
45.88095238,58.52666667,725,78.37301587,0.586829072,1
61.52380952,59.90666667,1039,61.9047619,0.966577195,1
21,35.00620779,24.84865087,83.19007935,0.428449929,1
41.11904762,70.4,291.6,51.71356421,0.835922618,1
48.47619048,67.26666667,125.4,59.50577201,0.973787879,1
64.21428571,40.82,614.9,61.77849928,0.994632575,0
63.04761905,42.70666667,410.3,91.504329,0.939470606,0
33.97619048,77.8,217.2,79.50690872,0.076261576,1
12.19047619,19.22634125,161.497795,82.99114048,0.693823159,0
49.11904762,46.34061686,901.8653358,71.47465159,1,0
28.38095238,53.54666667,227,74.17027417,0.462238464,0
20.92857143,46.69101969,475.4889441,97.39011197,0.916185796,0
64.04761905,52.18,66.58,93.29004329,0.908471841,0
58.54761905,68.73333333,1307,95.54473304,0.63812749,1
37.4047619,53.95283,778.7850363,68.36691948,0.497518688,0
46.57142857,70.4,395.4,75.77561328,0.955811952,0
50.14285714,62.74666667,693.3,59.23520924,0.883018092,0
76.73809524,47.67333333,1071,82.96942015,0.976845183,1
69.28571429,50.76666667,1840,84.48544699,0.998922924,0
64.42857143,63.5,257.9,91.55844156,0.992522521,1
29.9047619,53.14572652,440.0393987,67.81740806,0.860003591,0
34.64285714,35.51963298,631.5801296,72.92505635,0.901039124,1
61.02380952,75.66666667,794.8,59.7041847,0.960689674,0
41.26190476,31.75886027,352.8027679,71.33461878,0.989899746,1
43.69047619,49.89333333,306.5,79.90620491,0.689669018,0
51.85714286,63.14,198,92.74853418,0.959101109,0
53.04761905,53.05333333,93.78,96.64502165,0.776569675,0
14.28571429,11.00938924,49.80287522,63.41810289,0.005890742,1
45.83333333,54.4,664.7,86.34838341,0.894326867,1
50.80952381,60.39333333,173.1,91.35324727,0.998567522,0
15.83333333,23.14496867,159.401639,98.78147774,0.924276173,0
63.30952381,40.39333333,265.9,89.53668376,0.999721967,0
76.52380952,55.55333333,186,53.86002886,0.843521709,0
48.0952381,34.4771169,795.7175138,71.31531245,1,0
46.5,56,545.8,53.1024531,0.829030772,1
35.45238095,46.98666667,247.6,73.16017316,0.573408755,0
23.73809524,41.98666667,277.4,52.57936508,0.942385433,0
67.83333333,59.45333333,60.92,87.26551227,0.928005483,1
56.57142857,51.4,3614,91.2800184,0.999850373,0
40.5,57.35899353,1374.13194,66.97925231,0.980731249,0
15.76190476,34.95757039,97.19094739,98.74164192,0.815734446,0
63.28571429,74.46666667,1144,92.23097693,0.83689634,1
32.26190476,49.52,277.9,78.16125963,0.784756328,0
56.0952381,76.13333333,131.1,97.13416545,0.999143215,0
47.61904762,49.74,231.7,84.13836006,0.915387567,0
71.88095238,61.84,1416,85.01082251,0.99307418,0
8.666666667,6.81637446,46.20524314,81.26646643,0.003139907,0
65.11904762,32,882.3,92.84017018,0.960920947,0
20.16666667,28.44191742,313.154772,57.28804807,0.941666245,0
47.64285714,65.70666667,340.7,78.87806638,0.88776818,1
48.66666667,63.68,317.7,58.51370851,0.741022899,1
57.4047619,45.82666667,200.3,63.74458874,0.966192345,0
67.57142857,52.61333333,2522,56.07864358,1,0
71.11904762,51.33333333,2433,83.99536307,0.998698369,0
52.45238095,55.99333333,1409,94.16416559,0.987517448,1
66.64285714,55.74666667,2052,90.24170274,0.849565065,1
61.64285714,54.46,3419,58.83838384,0.983837419,1
51.30952381,62.91333333,379.2,95.0036075,0.654334313,1
30.85714286,47.54763794,447.9792657,65.27687489,0.995132566,0
75,48.84,1695,56.27705628,0.971134133,1
41,38.67717234,441.9015489,67.34893851,0.938725293,1
56.76190476,57.03333333,604.4,59.81240981,0.993341025,0
48.4047619,35.01535288,1906.442574,71.60385473,1,0
39.4047619,59.46666667,290.2,83.16947049,0.943547006,1
43.04761905,60.87333333,240.8,83.7280327,0.910965795,1
63.26190476,53.7,752.5,59.48773449,0.999967509,0
8.261904762,3.038632711,124.4042239,80.06969206,0.812082961,0
53.83333333,91.6,168.5,90.87301587,0.985266046,0
38.80952381,62.44666667,283.8,76.76767677,0.970624454,0
43.07142857,47.68666667,660.2,78.44516595,0.699554807,0
43.28571429,88.4,338.1,76.74963925,0.317694697,1
19.64285714,23.36270142,204.8059616,57.09206622,0.785970926,1
40.9047619,54.29445394,467.9965612,71.27290478,1,0
27.83333333,34.13929749,370.7291489,65.39563624,0.996720941,0
38.28571429,50.14,241.1,77.47113997,0.620215351,1
19.35714286,31.84069061,124.1528667,99.99067703,0.880841732,0
45.45238095,49.00666667,322.4,50.95598846,0.996605148,0
39.33333333,54.7,124.2,52.75974026,0.983402866,0
29.9047619,53.14572652,440.0393987,57.46310803,0.968448639,1
49.73809524,55.29333333,333.8,91.43740056,0.993284672,0
62.78571429,54.18666667,2706,55.97041847,0.997784006,0
49.38095238,54.76,284.2,92.5782106,0.821948984,0
15.04761905,34.95757039,78.04124874,98.04077246,0.662513137,1
33.57142857,60.82,475.1,74.72943723,0.543665702,1
29.64285714,55.25333333,693.7,78.06966513,0.966859897,1
36.28571429,55.95333333,243,78.97772214,0.980271739,0
40.42857143,64.8,361.8,76.74963925,0.73078832,0
32.30952381,40.99424998,532.4908081,68.79111679,0.973855078,0
30.95238095,52.87350464,146.0815974,71.89072441,0.937733114,1
62.23809524,42.28666667,2680,54.90620491,1,0
28.14285714,52.37508647,1268.10141,55.1706568,0.665884674,1
37.23809524,37.22974396,703.425807,66.86308903,0.939851046,0
51.23809524,51.19333333,545.8,59.52380952,0.993777894,0
54.28571429,60.71333333,1138,61.30952381,0.926748096,1
39.73809524,64.67333333,400.5,76.87590188,0.804937036,0
42.92857143,33.93447367,710.7190288,71.6712899,1,0
49.5952381,59.07333333,342.3,91.63059163,0.820252551,1
60.83333333,60.21333333,1230,59.75829726,0.999135278,0
35.33333333,61.44666667,167.6,73.23232323,0.930268777,0
35.38095238,65.53333333,238.8,50.23448773,0.862915278,1
31.76190476,47.81333333,435.4,49.27849928,1,0
17.4047619,18.78212738,52.32478979,56.88454506,0.434767634,1
